DataExtractDate,ReportPeriod,Terminal,Arrival_Departure,Domestic_International,Passenger_Count
06/11/2021 12:35:47 PM,07/01/2020 12:00:00 AM,TBIT,Arrival,International,59897
12/01/2021 12:00:21 AM,10/01/2021 12:00:00 AM,T6,Arrival,Domestic,158090
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,T8,Arrival,International,56
06/09/2021 09:21:54 AM,05/01/2021 12:00:00 AM,T6,Arrival,Domestic,146268
06/11/2021 12:35:47 PM,03/01/2021 12:00:00 AM,TBIT,Departure,International,92878
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,TBIT,Arrival,Domestic,3855
07/10/2021 06:01:27 AM,06/01/2021 12:00:00 AM,T7,Arrival,Domestic,222540
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T7,Departure,Domestic,169616
06/11/2021 12:35:47 PM,07/01/2020 12:00:00 AM,TBIT,Departure,International,72626
06/11/2021 12:35:47 PM,01/01/2021 12:00:00 AM,TBIT,Departure,International,90663
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T4,Arrival,Domestic,303360
06/11/2021 12:35:47 PM,10/01/2020 12:00:00 AM,TBIT,Arrival,International,109224
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T6,Arrival,International,2867
06/11/2021 12:35:47 PM,09/01/2020 12:00:00 AM,TBIT,Arrival,International,88979
06/11/2021 12:35:47 PM,08/01/2020 12:00:00 AM,TBIT,Departure,International,76953
06/11/2021 12:35:47 PM,02/01/2021 12:00:00 AM,TBIT,Arrival,International,83971
06/09/2021 09:21:54 AM,05/01/2021 12:00:00 AM,T1,Departure,Domestic,184294
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T8,Departure,Domestic,58683
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,T5,Departure,Domestic,340719
06/11/2021 12:35:47 PM,09/01/2020 12:00:00 AM,TBIT,Departure,International,82096
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,T7,Arrival,Domestic,277464
06/11/2021 12:35:47 PM,04/01/2021 12:00:00 AM,TBIT,Departure,International,110476
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,TBIT,Arrival,International,208353
06/11/2021 12:35:47 PM,10/01/2020 12:00:00 AM,TBIT,Departure,International,92717
06/11/2021 12:35:47 PM,02/01/2021 12:00:00 AM,TBIT,Departure,International,68791
11/10/2021 06:01:08 AM,10/01/2021 12:00:00 AM,T8,Departure,Domestic,106034
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T4,Departure,Domestic,306640
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,Miscellaneous Terminal,Departure,Domestic,28784
06/09/2021 09:21:54 AM,05/01/2021 12:00:00 AM,T6,Departure,Domestic,148770
06/11/2021 12:35:47 PM,08/01/2020 12:00:00 AM,TBIT,Arrival,International,76923
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T6,Departure,International,35662
06/09/2021 09:21:54 AM,05/01/2021 12:00:00 AM,T1,Arrival,Domestic,188164
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T8,Arrival,Domestic,57833
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,T8,Departure,International,6351
06/11/2021 12:35:47 PM,05/01/2021 12:00:00 AM,Miscellaneous Terminal,Arrival,International,320
06/11/2021 12:35:47 PM,12/01/2020 12:00:00 AM,TBIT,Arrival,International,120988
06/29/2021 10:06:21 AM,05/01/2021 12:00:00 AM,T5,Arrival,Domestic,349982
